identifier,Title (Sindhi),Author (English),Year,Author (Sindhi),Title (English),Publisher,Language,Thumbnail,Link
san_0492,سنڌي ٻوليءَ جو آڳاٽو منظوم ذخيرو,Dr. Nabi Bakhsh Baloch,1993,ڊاڪٽر نبي بخش بلوچ,Sindhi bolia jo aGaTo manzoom zakheero,Sindhi Language Authority,sindhi,,
san_0614,سنڌونديءَ جي پاڻيءَ جي ورڇ ۽ سنڌ علائقي جا حق,Ghulam Dastagir Pandhiani,1971,غلام دستگير پانڌياڻي,Sindhu nadi je paaNi jee wirchh ain Sindh ja haqa,Abaadgar Association | آبادگار ائسوسيئيشن حيدرآباد,sindhi,,
san_0324,گردش (ڪهاڻيون),Amar Gopalani,2012,امر گوپلاڻي,Gardish (Short Stories),Amarlal Gopalani,sindhi,,
san_0327,واڪا ڪرڻ مون وس (ڪالم ۽ ڪهاڻيون),Hakim Ali Katohar,2017,حاڪم علي ڪٽوهڙ,Waaka karaN muun wasi,"Sambara Publications, Hyderabad.",sindhi,,
san_0340,ڊسٽ بن (يادگيريون، مقالا ۽ تقريرون),Akbar Soomro,2012,اڪبر سومرو,"DUST BIN [Re-collections, Articles & Speeches)","Fiction House, Lahore/Hyderabad/Karachi.",sindhi,,
san_0489,گانڌيجي,Mohan Panjapi,2004,موهن پنجاپي,Gandhiji,"Gulshan Publications, Larkano.",sindhi,,
san2020-232,گڏجاڻيون,Prof: Ram Panjwani,1982,پروفيسر رام پنجواڻي,Gadjanyun,"Sindhi Times Publications, Ulhasnagar.",sindhi,,
san2020-241,جامد ۽ متحرڪ تخليقي قدر (مضمون),Firaq Halepoto,2018,فراق هاليپوٽو,Jaamid ain mutahark tkhleeqi qadr,Purann Publication، Jhuddo.,sindhi,,
san_0209,”سنڌي ٻولي“ مخزن-2-3-4 1994,Amin Laghari,1994,امين لغاري,"Trimonthly ""Sindhi Boli"" 1994",Sindhi Language Authority,sindhi,,
san2020-238,منهنجي حياتيءَ جو سونهري ورق,Roopchand Moolchand MeRaNi,1985,روپچند مولچند ميڙاڻي,Munhnji Hayatia jo sonahri varaq,"Roopchand MeRaNi, New Delhi.",sindhi,,
san_0252,گليور جو سير ۽ سفر,Mirza Qaleech Baig,1991,مرزا قليچ بيگ,Gulliver jo ser ain safar,"Sindhi Adabi Board, Jamshoro.",sindhi,,
san_0260,ايڏو بہ ناز نہ ڪر (ناٽڪ) ۽ ٻن پڙن وچ ۾ (ناول),Amar Gopalani,2015,امر گوپلاڻي,Edo Bi Naaz Na Kar ain Bin Puran Je Vich Mein,Amarlal Gopalani,sindhi,,
san_0107,تصوير جو خون,Oscar Wilde,1983,آسڪر وائيلڊ (سنڌيڪار فضل آحمد بچاڻي),Tasweer jo khoon (Picture Of Dorian Gray),New Fields Publications,sindhi,,
san_0404,ڪي وسرن نہ مور (ڪجھہ خط),Nooruddin Sarki,2001,نورالدين سرڪي,ke wisran na moor,"Sindh Adabi Academy, Karachi.",sindhi,,
san_0673,سنڌ جا موجوده مسئلا,Dr. Hameeda Khuhro,1987,حميده کهڙو,Sindh ja mojoodah masaila,"Marui Foundation, Karachi.",sindhi,,
san_0683,وطن دوست انقلابي پارٽيءَ جي چوٿين ڪانگريس (سياسي رپورٽ),Dr. Arbab Khuhawar,1988,ڊاڪٽر ارباب کهاوڙ,Watan Dost Inqlabi Party 4th Congress,"Osar Publications, Karachi.",sindhi,,
san2020-48,ننڊ سپنا جاڳ سپنا (شاعري),Irfan Kadari,2017,عرفان قادري,Nind Sapna Jaag Sapna,"Kavita Publications, Hyderabad.",sindhi,,
san2020-83,جبران جا چار ناوليٽ,Khalil Jibran,2007,خليل جبران,Jibran Ja Char Novelet,"Roshni Publication, Kandiaro.",sindhi,,
san_0880,"ماهوار ""تحريڪ"" (ڊسمبر 1973)",Qasim Pathar Sindhi,1973,قاسم پٿر سنڌي,"Monthly ""Tahreek"" (December 1973)","Suhani Printers, Hyderabad.",sindhi,,
san_0356,ڀورائيءُ ۾ ڀال (جيون ڪٿا),Shah Mohammad Pirzado,2017,شاھ محمد پيرزادو,Bhoraia mein bhaal,"(Bakh) Trust, Balhreiji.",sindhi,,
san_0055,ڌرتي منهنجي ماءُ,Hyder Bakhsh Jatoi,1987,حيدر بخش جتوئي,Dharti munhinjee maau,"Sindh National Publications, Mirpur Bathoro.",sindhi,,
san2020-219,انگن سان راند,Dr. Noor Mustafa Shaikh,2018,ڊاڪٽر نور مصطفى شيخ,Angan San Raand,Jamal Mustafa Shaikh,sindhi,,
san2020-34,شاھ جي رسالي جو تحقيقي ۽ تنقيدي اڀياس,Saleem Bhutto Latifi,2005,سليم ڀٽو لطيفي,Shah jy Risale jo Tahqeeqi ain Tanqeedi Abhyas,"Sindhica Academy, Karachi.",sindhi,,
san2020-71,لاڙڪاڻو ليڊرن جي ڌرتي,Abdul Sattar Bhatti,1998,عبدالستار ڀٽي,Larkano Leaderan Jee Dhartii,Larkano Research Academy,sindhi,,
san2020-82,اناميڪا,Altaf Shaikh,1999,الطاف شيخ,Anameka (Short Stories),"New Fields Publications, Tando Wali Muhammad, Hyderabad Sindh.",sindhi,,
san_0173,هرڻ اکي ڪيڏانهن,Shaikh Ayaz,1994,شيخ اياز,Haran Akhee keDahan (Poetry and Prose),New Fields Publications,sindhi,,
san_0181,انٽرويو ۽ تقريرون,Anwar Pirzado,2011,انور پيرزادو,Interview ain taqreeroon,Anwar Pirzado Academy,sindhi,,
san_0385,سنڌو منهنجي ساھ ۾,Amar Jaleel,1999,امر جليل,Sindhu Munhinjay Sah Mein (Short Stories),"Roshni Publications, Kandiaro.",sindhi,,
san_0398,سنڌ جي بمبئي کان آزادي,G. M. Syed,,جي ايم سيد,Sindh jee Bumbai khaan aazadi,Unknown,sindhi,,
san_0430,سانجھي، سمنڊ، سپون,Shaikh Ayaz,1993,شيخ اياز,"Saanjhi, samunDr, sipoon","Sindh Adabi Academy, Karachi.",sindhi,,
san_0433,سنڌ ۾ شاگرد تحريڪ,Jam Saqi,1974,ڄام ساقي,Sindh jee Shaagird Tahreek,"Pirah Phuti Publications, Hyderabad.",sindhi,,
san_0444,سنڌي ڪتاب,Haidar Ali Laghari & Mohammad Nawaz Noonari,1995,حيدر علي لغاري ۽ محمد نواز نوناري,Sindhi [Learning] Book,Sindhi Language Authority,sindhi,,
san_0490,ساٿي 1993,Taj Mohammad Nizamani,1993,تاج محمد نظاماڻي,Saathi 1993,Taj Mohammad Nizamani,sindhi,,
san_0500,هي سڄڻ سيئي (ڪتاب ميرداد),Mikhail Naimy,2000,ميخائيل نعيمي (سنڌيڪار اي ڪي پنجواڻي),Hee sjjan seeii,"Sindh Adabi Academy, Karachi.",sindhi,,
san_0613,سنڌ ۾ ڀاڄين جي پوک,Ghulam Hussain Memon,1977,غلام حسين ميمڻ,Sindh mein bhajiyun jee pokha,Sindh Zarai Khato | سنڌ زرعي کاتو,sindhi,,
san_0642,پراڻو پارڪر,Mangharam Ojha,1998,منگھارام اوجھا,PuraNo parkar,"Sindhi Adabi Board, Jamshoro.",sindhi,,
san_0650,نالوتري (سنڌي نج نالا),Jaffar Jeem Sindhi,2008,جعفر جيم سنڌي,Nalotri,Jaffar Jeem Smdhi,sindhi,,
san_0667,ڪڏهن بهار ايندو (ڪهاڻيون),Sobho Gianchandani,1993,سوڀو گيانچنداڻي,Kadahin bahaar eendo,"Sachai Ishaat Ghar, Daro.",sindhi,,
san_0724,شاه جو رسالو (جلد ٽئو) (مرتب ٻانهون خان شيخ),Shah Abdul Lateef,2000,شاه عبداللطيف ڀٽائي (مرتب ٻانهون خان شيخ),Shah jo Risalo (Volume III),"Shah Abdul Latif Chair, Karachi.",sindhi,,
san_0730,سنڌي نثر جي تاريخ (وڌايل ۽ سڌاريل),Dr. Ghulam Ali Allana,1977,ڊاڪٽر غلام علي الانا,Sindhi Nasr jee taareekh,"Zeb Adabi Markaz, Hyderabad.",sindhi,,
san2020-14,سنڌي ٻوليءَ جي مختصر تاريخ (قديم دور کان سمن جي حڪومت جي آخر تائين),Dr. Nabi Bakhsh Baloch,1962,ڊاڪٽر نبي بخش بلوچ,Sindhi Bolia jee mukhtasir tareekh,Sindh Univeristy,sindhi,,
san2020-140,کيرٿر جو سفر (ڀاڱو پهريون),Badar Abro,2010,بدر ابڙو,Kheerthar Jo Safar (Vol. 1),"Sindhi Adabi Board, Jamshoro.",sindhi,,
san2020-146,سائو هلن سامهان,Saleem Bhutto Latifi,2009,سليم ڀٽو لطيفي,Saa'o Halan Samhan,"Sindhica Academy, Karachi.",sindhi,,
san2020-18,پن جي پڇاڙي (شيخ اياز هڪ اڀياس),Masroor Jamoon,2017,مسرور جمون,Pan Jee Pachharri,Unknown,sindhi,,
san2020-1,مثالي ٻاراڻو ڪتاب 1995ع,Shaikh Mohamad Fazil,1995,شيخ محمد فاضل,Misaali BaraNo Kitaab,Sindhi Language Authority,sindhi,,
san2020-103,حيدرآباد جي مختصر تاريخ,Noor M. Bhutto,2016,نور محمد ڀٽو,Hyderabad Ji Mukhtaser Tareekh,"Sijj Publications, Hyderabad.",sindhi,,
san2020-111,هڪ جنرل کي ڪيئن هارائي سگهجي ٿو؟,Benazir Bhutto,2009,بينظير ڀٽو (سنڌيڪار منظور قادر),Hik General Khay Keenan Haraae Saghje Tho?,"Naon Niyapo Academy, Karachi.",sindhi,,
san2020-271,مولانا غلام محمد گرامي,Azad Anwar Kandharo,2018,آزاد انور ڪانڌڙو,Molana Gh. M. Grami,"Sindh Rani Publication, Hyderabad.",sindhi,,
san2020-293,ٿر: خوشحال ڌرتي- بدحال ماڻهو,Zulfikar Halepoto,2014,ذوالفقار هاليپوٽو,Thar Khushaal Dharti Badhaal Manhoon,"Sindhica Academy, Karachi",sindhi,,
san_0091,قرآن مهجور,Maulana Azizullah Bohio,2001,مولانا عزيزالله ٻوهيو,Quraan Majhoor,Sindh Sagar Academy,sindhi,,
san_0100,عجيب ڳالهيون,Mirza Qaleech Baig,2007,مرزا قليچ بيگ,Ajeeb Galihyun,"Sindhi Adabi Board, Jamshoro.",sindhi,,
san_0258,زير عشق، پيش حسن (خاڪا),Aziz Gopang,2013,عزيز گوپانگ,Zer-e-lshq Pesh-e-Husn [Profiles],"Kavita Publications, Hyderabad.",sindhi,,
san_0278,مورو: تاريخ ۽ ثقافت (مضمون، مقالا ۽ تحريرون),Aslam Abbasi,2011,اسلم عباسي,Moro: Taareekh ain Saqafat,"Sindh Review Publications, Karachi.",sindhi,,
san_0282,سوچيو ۽ امير ٿيو,Napoleon Hill,2014,نئپولين هل (ترجمو غلام سرور ٻگھيو),Sochio ain ameer thiyo,Islamic Publication,sindhi,,
san_0292,ڪشمور ظلعي جي تاريخ,Ardo Utradi,2013,ارڏو اترادي,Kashmor zile jee taareekh,"Naeen Sindh Academy, Karachi.",sindhi,,
san_0312,حليم لکيو,Noor Junajo,2011,نور جوڻيجو,Haleem likhyo,"Young Literary Society, Hyderabad.",sindhi,,
san_0336,سنڌي شاگرد سياست,Abdul Hai Palijo,2016,عبدالحئي پليجو,Sindhi shagird siyasat,"MoomalPublications, Banoon.",sindhi,,
san_0341,سنڌي لوڪ ڪهاڻيون (ڀاڱو ٻيو),Dr. Nabi Bakhsh Baloch,1987,ڊاڪٽر نبي بخش بلوچ,Sindhi lok kahaNiyoon (2),"Sindhi Adabi Board, Jamshoro.",sindhi,,
san_0530,انسان جي ڪهاڻي,Mikhail Ilin (1895-1953) and Elena Segal (1905-1980),2006,ميخائيل اِيلِن ۽ ايلينا سيگَل (سنڌيڪار حسين بادشاهه),Insaan je kahaNi (How man became a giant?),"Roshni Publications, Kandiaro.",sindhi,,
san_0533,سنڌي وياڪرڻ - ڀاڱو پهريون - مرزا قليچ بيگ,Mirza Qaleech Baig,1970,مرزا قليچ بيگ,Sindhi wiyakaraN [Sindhi Grammar] (Vol. 1),"Sindhi Adabi Board, Jamshoro.",sindhi,,
san_0537,وتائي فقير جا گفتا نصيحت ڀريا نڪتا,Danish Nawaz,,دانش نواز,Wataee Faqeer ja gufta,Shah Latif Kitab Ghar,sindhi,,
san_0583,سري گرو گرنٿ صاحب جي سکيا جو سار,Guru Nanak,1972,جي جي ڪرم (بندو),Shri GuruGiranth Sahib jee sikhya jo saar,"Roshan Raah Sangat, Kandhkot.",sindhi,,
san_0884,"هفتيوار ""برسات"" جلد 10، شمارو 73-74 (1982ع)",Yousif Shaheen,1982,يوسف شاهين,"Weekly ""Barsat"" (Vol 10, No 73-74)","Afro Asia Printing Press, Karachi.",sindhi,,
san2020-11,ڪائنات جو مڪمل نظريو (ڪائنات جي جنم ۽ انت بابت اسٽيفن هاڪنگ جي ليڪچرن جو ڳٽڪو),Stephen Hawking,2019,اسٽيفن هاڪنگ (سنڌيڪار مرتضى ڌاريجو),The Theory of Everything: The Origin and Fate of the Universe,"Sindh Science Academy, Jamshoro.",sindhi,,
san2020-6,کل تہ کجيءَ جو وڻ کارايانءِ,Tanveer Ahmed Feroz,2003,تنوير احمد فيروز,Khil ta Khaji Jo Wann Kharayane,"Naveed Book Depot, Hyderabad.",sindhi,,
san_0473,منهن تنين مشعل (خاڪا),Dr. Tanveer Abbasi,1990,تنوير عباسي,Muhun taneen mashal,New Fields Publications,sindhi,,
san_0513,آئين سنڌ يونائيٽيڊ پارٽي,SUP,2016,سنڌ يونائيٽيڊ پارٽي,Constitution - Sindh United Party,SUP سنڌ يونائيٽيڊ پارٽي,sindhi,,
san_0674,ڌرتيءَ جو ڌڻي ڪير,Taj Marri,,تاج مري,Dhartia jo dhaNi ker,"Sindh Hari Committee, Hyderabad.",sindhi,,
san_0347,شڪارپور جي ٻولي,Dr. Abdulmajid Memon,1993,عبدالمجيد ميمڻ,Shikarpur jee Boli,Sindhi Language Authority,sindhi,,
san_0737,کٿابيءَ کان پرولتاري تائين,Faiz Muhammad Sheedi,2015,فيض محمد شيدي,KHUTHAABI KHAAN PROLITAREE TAEEN (Autobiographical Notes & Memories of Struggle),"Kala Adab Publications, Hyderabad.",sindhi,,
san_0630,ماڻڪ موتي لعل,Ghulam Sakina Shaikh,1994,غلام سڪينه شيخ,"Manik, moti, laal",Hafiz Abdulghani Shaikh,sindhi,,
san2020-92,دلين جا داخلي رستا (شاعري),Rehmat Pirzado,2016,رحمت پيرزادو,Diliun Ja Daakhali Rasta,"Rekhaoon Publication, Karachi.",sindhi,,
san_0015,بکيو شينهن,Irshad Sagr Gadani,1997,ارشاد ساگر گڏاڻي,Bukhio Sheenhn,Mehran Academy,sindhi,,
san_0649,تون ئي تون (شاعري),Zaffar Abbasi,2007,ظفر عباسي,Toon ii toon,"New Thinkers Forum, Hyderabad.",sindhi,,
san_0867,ٽماهي مهراڻ (جولاءِ-ڊسمبر 1977),Ghulam M. Girami,1977,غلام محمد گرامي,Mehran Quarterly July-December 1977,"Sindhi Adabi Board, Jamshoro.",sindhi,,
san_0881,"هفتيوار ""برسات"" جلد 11، شمارو 1 (1983ع)",Yousif Shaheen,1983,يوسف شاهين,"Weekly ""Barsat"" (Vol 11, No 1)","Afro Asia Printing Press, Karachi.",sindhi,,
san_0240,ڪليسا جي دريءَ مان (شاعري),Rahmat Pirzado,2005,رحمت پيرزادو,Kulesia je daria maan,"Sipa Publisher, Nwabshah. | سِپَ پبلشر",sindhi,,
san_0248,سنڌ جي زمينن جو حقدار ڪير؟ ۽ مصطفيٰ حيدر جتوئي,Hyder Bakhsh Jatoi,1976,حيدر بخش جتوئي ۽ ٻيا,Sindh jee zameenun jo haqdaar ker,"Sindh Hari Committee, Hyderabad.",sindhi,,
san_0395,ڀوڳن ڀوڳن ۾,Imtiaz Abro,2008,امتياز ابڙو,BhoGan bhoGan mein,"Matiari Kitad Dost Program, Matiari.",sindhi,,
san_0298,ڏياري شبري جا چکيل پن,Murli Dhar,2017,مرلي ڌر,Diyaari,"Muheen jo Daro Publishing Agency, Larkano.",sindhi,,
san_0809,سنڌ سلامت، ساھ سلامت (شاعري),Natiq Kamboh HalaNvi,2012,ناطق ڪمبوھ هالاڻوي,"Sindh Salamat, Sahu Salamat","Ata Publications, Halani.",sindhi,,
san2020-150,ماڻهو مڻيادار: پير الاهي بخش,Syed Zawar Naqvi,2012,سيد زوار نقوي,MAANHOON MANYADAAR: Biographical Sketches on Pir Illahi Bakhsh,"Sindhi Adabi Board, Jamshoro.",sindhi,,
san_0147,ڪجھ ٻڌايم ڪجھ لڪايم (آتم ڪٿا),Kirat Babani,2000,ڪيرت ٻاٻاڻي,"Kujh Budhayum, kujh likayum","Sindh Perchar Publications, Karachi.",sindhi,,
san_0212,ٽه ماهي اوسر (اونهارو) 1997,Dr. Shamsudin Ursani,1997,ڊاڪٽر شمس الدين عرساڻي,Osar Uunharo 1997,Kitabi Dunya Publications,sindhi,,
san_0365,ڏات ۽ حيات (شاعري),Narayan Shyam,1997,نارايڻ شام,Daat ain Hayaat,New Fields Publications,sindhi,,
san_0207,ڇھ ماهي ”سنڌي ادب“ جلد 11، نمبر 1، 1989,Vali Ram Vallabh,1989,ولي رام ولڀ,"""Sindhi Adab"" Volume 11, Issue 1 1989",Sindhology,sindhi,,
san_0652,يادن جا ورق - علي احمد قريشي,Aijaz Qureshi,2010,اعجاز قريشي,Yadun Ja Warq (Memories),"Manchhar Publications, Dadu.",sindhi,,
san_0154,ستارن پويان ڊوڙندڙ شخص (پرڏيهي ڪهاڻيون),Bhavan Sindhi,2015,ڀون سنڌي,Sitaran poyan DRoRandaR shakhs,"Naon Niyapo Academy, Karachi.",sindhi,,
san_0680,تاريخ ڪنهنکي بہ معاف نہ ڪندي,Abdul Hameed Jatoi,1987,عبدالحميد جتوئي,Taareekh kanhinkhe bi muafna kandee,"Makhdoom Bilawal Publications, Mehar.",sindhi,,
san_0237,هيرن جهڙو ماڻهو [سيد اڪبر],Qadir Bakhsh Talibani,2010,قادر بخش طالباڻي,Heeran JahRo ManRhoon,"Sujagi Publications, Hyderabad",sindhi,,
san_0623,ورهاڱي جو ورجاءُ (مضمون، ڪالم ۽ مقالا 1974ع کان 1992ع تائين),Mahtab Mehboob,1992,ماهتاب محبوب,Wirhange jo warjau,New Fields Publications,sindhi,,
san_0806,صدين جون صدائون (تقريرون),Abdul Wahid Aresar,,عبدالواحد آريسر,Sadiyun joon sadaaoon (Speeches),Unknown,sindhi,,
san_0704,نجم عباسي: جديد انقلابي فڪر جو ترجمان,Rehana Nazeer,2017,ريحانه نظير,Najam Abbasi: Jadeed lnqilabi Fiker Jo Tarjaman [Research Thesis for Ph.D],"Kavita Publications, Hyderabad.",sindhi,,
san_0558,تاريخ جا اڏيندڙ سنڌيڪار محمد بخش سومرو,Mohammad Bakhsh Soomro,1997,سنڌيڪار محمد بخش سومرو,Tareekha ja aDeendaR,Sindhica,sindhi,,
san_0896,هلال پاڪستان مئگزين (فيبروري 1983ع),Faqeer Mohammad Lashari,1983,فقير محمد لاشاري,Halal Pakistan Magazine (February 1983),"Shaikh Sultan Trust, Karachi.",sindhi,,
san_0618,ڀڳوانن جي ڀونءِ - نيپال (سفرنامو),Badar Abro,1996,بدر ابڙو,Bhagwaanan jee bhoonin: Nepal,New Fields Publications,sindhi,,
san2020-253,تاريخ جو فلسفو (مضمون),Dr. Mubarak Ali,1985,ڊاڪٽر مبارڪ علي (سنڌيڪار اعجاز قريشي),Taareekh jo falsafo,"Rabel Academy, Hyderabad.",sindhi,,
san2020-274,شاهاڻو شاھ,Lalchand Jagtiani,1989,لالچند جڳتياڻي,Shahano Shah,"Shah Abdul Latif Saqafati Markaz, Bhit Shah.",sindhi,,
san_0570,ساميءَ جا سلوڪ,B. H. Nagrani,1978,بي ايڇ ناگراڻي,Saamia ja salook,"Sindhi Writers' Co-operative Society, Hyderabad.",sindhi,,
san_0588,تعليم ۽ تربيت,Ghulam Hussain Soomro,1970,غلام حسين سومرو,Taalem ain tarbiyat,"R. H. Ahmed & Brothers, Hyderabad.",sindhi,,
san2020-101,اڪيلا ناهيون,Musa Manzoor,2007,موسى منظور,Akela Nahyon,"Sijj Publications, Hyderabad.",sindhi,,
san_0262,هوءَ جا ٽمڪي باهڙي (جلد 1) مضمون ۽ ترجما,Mohammad Ibrahim Joyo,1995,محمد ابراهيم جويو,Hooa ja timki baahRi,"Naeen Sindh Academy, Karachi.",sindhi,,
san_0337,دل جو رستو (رومانوي غزل),Ishaq Samejo,2003,اسحاق سميجو,Dil jo rasto,"Roshni Publications, Kandiaro.",sindhi,,
san_0349,ويھ مَ وساريج,Dr. Suleman Shaikh,1998,سليمان شيخ,Weh ma wisarej,Sindhica,sindhi,,
san_0071,سنڌي واپاري,Claude Markovits,2005,ڪلاڊ مارڪووٽس (سنڌيڪار حسين بادشاھ),Sindhi Waapari,"Roshni Publications, Kandiaro",sindhi,,
san_0279,واڄٽ ويراڳين جا (جي ايم سيد ڏانهن ميان محمد امين کوسي جا لکيل خط 1938ع کان 1966ع ),Abdul Wahid Aresar and Taj Joyo,1987,عبدالواحد آريسر ۽ تاج جويو,WaaJaT weraGiyun jaa,"Sindhi Writers' Co-operative Society, Hyderabad.",sindhi,,
san_0284,سنڌ، ورهاڱو ۽ سازشون,Mansoor Qadir Junejo,2002,منصور قادر جوڻيجو,"SINDH, VIRHANGO AIN SAZISHOON","Sabheta Publications, Hyderabad.",sindhi,,
san_0196,علي بابا ۽ چاليھ چور,Unknown,1977,اڻڄاتل,Ali Baba ain Chaleeha Chor,Taufiq Ahmed and Brothers,sindhi,,
san_0358,منشور ۽ آئين - عوامي ورڪرز پارٽي,Awami Workers Party,2014,عوامي ورڪرز پارٽي,Manshoor ain aaeen - Awami Workers Party,Awami Workers Party | عوامي ورڪرز پارٽي,sindhi,,
san_0719,ڪنوارو ڪلارڪ (ڊرامہ),Mohammad Hussian Awan,1987,محمد حسين اعواڻ,Kunwaro Klarak,Dando Koondo Publications,sindhi,,
2008_20210111,هر دل ۾ ڀٽو ڌڙڪي ٿو,Khurshaid Junejo,2008,,,Roshni Publications,sindhi,,
san_0780,بابا بلهي شاھه: زندگيءَ جو احوال,Altaf Malkani,,الطاف ملڪاڻي,Baba Bulhe Shah,Unknown,sindhi,,
san_0221,اکڙيون ڏيلا من گھايل (شاعري),Murli Dhar,2010,مرلي ڌر,Akhadyoon Dela Mann Ghayal,"Marvi Publications, Karachi",sindhi,,
san_0333,اسان مرڻا ناهيون (آتم ڪٿا),Iqbal Mallah,2017,اقبال ملاح,Asaan marNa nahiyoon,"Bakh Phuti Publications, Mehar.",sindhi,,
san_0144,ابو ندال جي زندگي ۽ جدوجهد (فلسطين جي مختصر تاريخ),Sarang Maachi,1993,سارنگ ماڇي,Abu Nidaal jee zindagi,"Paigham e Sindh Publications, Mohen-jo-Daro.",sindhi,,
san_0477,چونڊ نوبل ڪهاڻيون (13 نوبل انعام يافتہ ليکڪن جون چونڊ ڪهاڻيون),Mumtaz Bukhari & Habib Sajid,1998,ممتاز بخاري ۽ حبيب ساجد,Choonda nobel kahaNRyoon,"Roshni Publications, Kandiaro",sindhi,,
san_0888,"هفتيوار ""برسات"" جلد 9، شمارو 50 (1982ع)",Yousif Shaheen,1981,يوسف شاهين,"Weekly ""Barsat"" (Vol 9, No 50)","Afro Asia Printing Press, Karachi.",sindhi,,
san2020-41,سنت ڪنور رام,Kanhaiya Lal M. Talreja,1988,ڪنعيا لعل- ايم تلريجا,Sant Kanwar Ram,"Sant Kanwar Ram Shewaa Mandal Pakistan, Karachi",sindhi,,
san_0216,شيشي جو گھر (ڪهاڻين جو ڳٽڪو),Abid Laghari,1997,عابد لغاري,Sheeshey jo ghar,Mehran Academy,sindhi,,
san_0793,ساهڙ جا سينگار,G. M. Syed,2007,جي ايم سيد,SaahaR ja seengaar,"Sindhi Adabi Board, Jamshoro.",sindhi,,
san_0086,غلامن جو ٻيڙو,Eric Corder,1996,ايرڪ ڪارڊر (دوست محمد ڀٽي),Ghulaman jo BeRo,New Fields Publications,sindhi,,
san_0367,بوند لهرون ۽ سمنڊ (غزل),Narayan Shyam,1987,نارايڻ شام,"Boond, lahroon ain samundr","Sindhi Writers' Co-operative Society, Hyderabad.",sindhi,,
san_0379,وشواس (ناول),Mohan Kalpna,1987,موهن ڪلپنا,Wishvaas,"Sindhi Saahat Ghar, Hyderabad",sindhi,,
san_0414,سنڌي ٻوليءَ بابت مقالا ۽ مضمون (جلد ٽيون),Dr. Alladad Bohyo,2008,ڊاڪٽر الهداد ٻوهيو,Sindhi Bolia baabat maqaalaa ain mazmoon (Juld 3),Sindhi Language Authority,sindhi,,
san_0412,علم تحقيق,Dr. Allhadad Bohyo,1990,ڊاڪٽر الهداد ٻوهيو,Ilim Tahqeeq,New Fields Publications,sindhi,,
san_0595,ٽي ناٽڪ (عورتن جي جنگ، مسٽر سئمپسن، خود عظيم گلوب),Unknown,2000,اڻڄاتل,Three Plays,Unknown,sindhi,,
san_0503,خدا جو دوست,Imdad Ali Qadri,1999,امداد علي قادري,Khuda jo Dost,Mehran Academy,sindhi,,
san_0528,حيدرآباد شهر تاريخ جي آئيني ۾,Mohammad Waris Abbasi,2014,محمد وارث عباسي,Hyderabad shahاr tareekh je aine mein,"N. A. Jan Foundation, Hyderabad.",sindhi,,
san2020-99,رچي جي ريٽو ٿيا (جارجي دميتروف),Stella Blagoeva,1984,اسٽيلا بلاگوئيوا (سنڌيڪار ناز سنائي),Rachi je reto thiya (Biography of Georgi Dmitrov),"Sindhi Sahat Ghar, Hyderabad.",sindhi,,
san_0480,ڪامريڊ حيدر بخش جتوئي,Aijaz Qureshi,2008,اعجاز قريشي,Comrade Hyder Bakhsh Jatoi,"Manchhar Publications, Dadu.",sindhi,,
san_0666,گني بسائو ڪيئن آزاد ٿيو,Yusuf Sindhi,1989,يوسف سنڌي,Guinea Bissau keenan azaad thiyo,"Sachai Ishaat Ghar, Daro.",sindhi,,
san_0243,حيدرآباد 47 ڪلوميٽر (ڪهاڻيون),Zeb Sindhi,2010,زيب سنڌي,Hyderabad 47 kilometer,Sindh Manik Moti Tnazeem,sindhi,,
san_0647,پوترتا پڇتاءُ (ڪهاڻيون),Tasleem Sahar,2017,تسليم سحر,potrta pachhtau,"Sambara Publications, Hyderabad.",sindhi,,
san_0691,سنڌو لکت جو بين الاقوامي لکتن سان لاڳاپو,G. R. Hunter,1995,جي آر هنٽر (ترجمو عطا محمد ڀنڀرو),Sindhu likhat .......,Sindhi Language Authority,sindhi,,
san_0748,وتائي فقير جي واپسي (لٽڪا، چٽڪا، نقطا ۽ سوانح),Yusuf Hashmi,2015,يوسف هاشمي,Wataee Faqeer jee waapsi,Moosa Publications,sindhi,,
san_0577,انيس انصاري: فن ۽ شخصيت,Ishtiaq Ansari,2008,اشتياق انصاري,Anis Ansari: Fann ain Shakhsiat,"Kavita Publications, Hyderabad.",sindhi,,
san_0281,سنڌ ساري ويئي ٻڏي (ٻوڏ 2010ع جي ڪهاڻي),Yusuf Sindhi,2010,يوسف سنڌي,Sindh Saari weii Budi,"Sachai Ishaat Ghar, Daro.",sindhi,,
san_0428,هندستان جي زبانن جو جائزو,John Beams,1994,جان بيمز (مترجم نواز علي شوق),Hindustaan je zubaanun jo jaaizo,Sindhi Language Authority,sindhi,,
san_0426,سنڌ تعليمي تحريڪ,Mohammad Ibrahim Joyo,2010,محمد ابراهيم جويو,SINDH TALEEMI TAHREEK [Education],Muhammad Ramzan Kumbhar,sindhi,,
san_0733,سنڌو لکت ۽ ٻولي,S. R. Rao,1994,ايس آر رائو (ترجمو عطا محمد ڀنڀرو),Sindhu likhat ain Boli,Sindhi Language Authority,sindhi,,
san2020-201,سنڌ جا قديم آثار ۽ تاريخ,Dr. Nabi Bakhsh Baloch,2012,ڊاڪٽر نبي بخش بلوچ,Sindh Ja Qadeem Aasaar Ain Tareekh,"Peacock Printers, Karachi.",sindhi,,
